ref,marque,nom,rayon,famille,prix,icone,dispo,cap,specs,photo,photos,actif,description
CLIBEK09-BPN109,Beko,Climatiseur Beko portatif 9000btu bpn 109c,clim,Climatiseurs,182000,ventilo,jour,9000 BTU,Type: Portatif | Capacité: 9000 BTU | Garantie: 12 mois,images/CLIBEK09-BPN109-1.png,images/CLIBEK09-BPN109-1.png;images/CLIBEK09-BPN109-4.png;images/CLIBEK09-BPN109-3.png;images/CLIBEK09-BPN109-2.png,oui,"Type de climatiseur : Climatiseur mobile pour refroidir une pièce Fonction(s) : Refroidir, déshumidifier, ventiler Réduction d'humidité : Déshumidifie 24L/24h Coloris : Blanc Pour une surperficie maximum de : 22 m² Dimensions L x H x P : 44 x 71.5 x 33.5 cm Poids Brut : 32,00 Kg Poids Net : 28,00 Kg Bon à savoir sur la surface : l'exposition au soleil, l'isolation, la surface vitrée et la hauteur sous plafond peuvent influencer l'efficacité du climatiseur Puissance frigorifique en BTU (British Thermal Unit ) : 9000 Bon à savoir sur les BTU : Plus la suface à refroidir est importante, plus la capacité de refroidissement ( nombre de BTU ) devra être élevée Débit d'air : 380 m³/h Bon à savoir sur le débit d'air : plus le débit d'air est important, plus l'appareil peut évacuer l'air chaud d'une grande pièce efficacement Classe climatique : T1 Niveau sonore maximum : 65 dB Niveau sonore minimum : 63 dB Télécommande : oui, avec un capteur qui permet d'obtenir la température de l'emplacement où vous vous trouvez pour vous apporter du confort Départ différé : oui, permet de programmer l'heure de déclenchement pour un confort optimal dès votre arrivée dans la pièce Roulettes : oui, facilite le déplacement d'une pièce à l'autre Nombre de vitesse(s) : 3 vitesses Conditions d'installation Type d'evacuation : évacuation extérieure nécessaire Kit d'évacuation extérieur (gaine) fourni : Oui Longueur du tuyau d'évacuation d'air : 1,5 m Kit de calfeutrage rigide pour fenêtre fourni : Non Kit de calfeutrage coulissant pour fenêtre fourni : Oui kit de calfeutrage en tissu pour fenêtre fourni : Oui Bon à savoir sur les kits : Un climatiseur mobile s'installe facilement. Une gaine placée à la fenêtre expulse l'air chaud vers l'extérieur, pour une efficacité optimale, installez un kit de calfeutrage, retrouvez les en cliquant ici Notice produit : incluse Accessoire(s) supplémentaires(s) : Kit fenêtre coulissant + kit fenêtre en tissu (kit calfeutrage) Consommation et économie d'énergie Label énergie froid : A Puissance frigorifique : 2.600 W Nos gestes éco : un réglage de 7°C en dessous de la T° extérieure est suffisant pour votre confort et permet de consommer moins d'électricité Gaz utilisé : R290, 100% naturel permettant de réduire de 99.8% l'impact sur l'environnement EER (taux d'éfficacité énergétique en mode refroidissement) : 2.6 Connecté Type de connectivité : Le Wifi permet une connexion même en dehors de votre domicile afin de gérer à distance le bon déroulement de votre cycle de lavage Application disponible sous : Android et IOS Nom de l'application : HomeWhiz Compatible assistant vocal : Alexa et Google assistant"
CLIELA12-12000B,Elactron,Climatiseur Elactron portatif 12000btu,clim,Climatiseurs,136600,ventilo,jour,12000 BTU,Type: Portatif | Capacité: 12000 BTU | Garantie: 12 mois,images/CLIELA12-12000B-2.png,images/CLIELA12-12000B-2.png;images/CLIELA12-12000B-1.jpg,oui,"Climatiseur Elactron de 12000 BTU, format mobile. Adapté à une pièce d'environ 20 m². Se déplace de pièce en pièce, évacuation par une gaine à la fenêtre. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
CLIMATISEUR-HAIER-PORTATIF-12000BTU-1-5CV-AM12AA1TAA,Haier,Climatiseur Haier portatif 12000btu 1.5cv am12aa1taa,clim,Climatiseurs,161500,ventilo,jour,12000 BTU,Type: Portatif | Capacité: 12000 BTU | Garantie: 12 mois,images/CLIMATISEUR-HAIER-PORTATIF-12000BTU-1-5CV-AM12AA1TAA-2.jpg,images/CLIMATISEUR-HAIER-PORTATIF-12000BTU-1-5CV-AM12AA1TAA-2.jpg;images/CLIMATISEUR-HAIER-PORTATIF-12000BTU-1-5CV-AM12AA1TAA-1.jpg,oui,"Modèle AM12AA1TAA 
Capacité de refroidissement 12000 BTU/h 
Débit d'air 350 m3/h 
Taille de la chambre 40 mq 
Technologie Seulement froid 
Caractéristiques Avec minuterie 
Fonction déshumidificateur Oui 
Classe énergétique A 
Caractère bruyant 56 dB 
Capacité de déshumidification 1.20 L 
Couleur Blanc"
CLIHIS12-12000B,Hisense,Climatiseur Hisense 12000btu portatif r410,clim,Climatiseurs,222800,ventilo,jour,12000 BTU,Type: Portatif | Capacité: 12000 BTU | Garantie: 12 mois,images/CLIHIS12-12000B-1.jpg,images/CLIHIS12-12000B-1.jpg;images/CLIHIS12-12000B-4.jpg;images/CLIHIS12-12000B-3.jpg;images/CLIHIS12-12000B-2.jpg;images/CLIHIS12-12000B-5.jpg,oui,"Puissance Froid: 12 000 btu/h Rapide, Confortable et Silencieux Economie d’énergie Nombreuses fonctionnalités Le climatiseur portatif est un appareil électroménager pas comme les autres. Il saura vous procurer l’air dont vous avez besoin en permance durant la journée. La puissance de moteur de ce climatiseur pas cher comme étant 1.5 CV, il saura éffectuer le refroidissement de votre pièce dans un delais de temps assez réduit, pour mettre tout le monde à l’aise assez rapidement. Ses différentes commandes au dessus vous permettront d’adapter et de régler sa puissance en fonction du besoin, de la taille de la pièce et de la quantité de personnes présentes dans la pièce dans laquelle il se trouve."
CLIROC09-RACP09,Roch,Climatiseur Roch portatif 9000btu racp09r4a + plaque Roch 2feux a gaz offert,clim,Climatiseurs,142000,ventilo,jour,9000 BTU,Type: Portatif | Capacité: 9000 BTU | Garantie: 12 mois,images/CLIROC09-RACP09-2.png,images/CLIROC09-RACP09-2.png;images/CLIROC09-RACP09-1.png,oui,"Marque : ROCH Modèle : RAC-P09R4-A Dimensions (L x H x P) : 466 × 397 × 38.5 x 765 mm Capacité de refroidissement : 9000BTU Type de réfrigérant : R-401A Fonction : Mode veille Puissance : 1000W Tension : 220-240V Poids : 30 Kg Garantie : 12 Mois Filtre anti-poussière, charbon actif, argent nono, filtre de catéchine, bactérie acaro et ion argent Redémarrage automatique, filtre de catalyseur froid Mode turbo Mode veille Temp. Les ailettes bleues de compensation et d'autoprotection offrent une résistance à la corrosion et améliorent la durabilité des tubes de cuivre rainurés intérieurs pour une efficacité énergétique élevée. Conception esthétique moderne pour améliorer l'ambiance de votre maison. TEMPORISATEUR SEMI CACHÉ"
SPLAIR12-12000I,Autre Marque,Split Airfel by Daikin 12000btu inverter,clim,Climatiseurs,190000,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLAIR12-12000I-2.jpg,images/SPLAIR12-12000I-2.jpg;images/SPLAIR12-12000I-1.jpg;images/SPLAIR12-12000I-4.jpg;images/SPLAIR12-12000I-3.jpg,oui,• Marque: Airfel • Type de produit: Climatiseur fixe • Capacité de refroidissement: 12000 BTU • Classe Énergétique: A.++ • Puissance: 1131 W
SPLAIR24-24000C,Autre Marque,Split Airfel by Daikin 24000btu cassette inverter sans liaison,clim,Climatiseurs,310000,split,jour,24000 BTU,Type: Split | Capacité: 24000 BTU | Garantie: 12 mois,images/SPLAIR24-24000C-3.jpg,images/SPLAIR24-24000C-3.jpg;images/SPLAIR24-24000C-2.jpg;images/SPLAIR24-24000C-1.jpg;images/SPLAIR24-24000C-4.jpg,oui,Marque: Airfel * Type de produit: Climatiseur cassette * Capacité de refroidissement: 12000 BTU * Classe Energétique: A++
SPLAIR24-24000B,Autre Marque,Split Airwell 24000btu cassette inverter ydax0070h09m25,clim,Climatiseurs,310000,split,jour,24000 BTU,Type: Split | Capacité: 24000 BTU | Garantie: 12 mois,images/SPLAIR24-24000B-1.jpg,images/SPLAIR24-24000B-1.jpg,oui,"Climatiseur Airwell de 24000 BTU, format cassette, à encastrer au plafond. Adapté à une pièce d'environ 40 m². Technologie inverter : le compresseur adapte sa puissance au lieu de démarrer et s'arrêter, ce qui réduit la consommation électrique et le bruit. Installation par nos techniciens à Dakar. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
SPLAST12-12000B,Astech,Split Astech 12000btu 1.5 CV 12rbr410,clim,Climatiseurs,152000,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLAST12-12000B-1.jpg,images/SPLAST12-12000B-1.jpg,oui,Marque : ASTECH Puissance moteur : 1.5 CV Capacité de refroidissement : 12000 (Btu/h) Type de réfrigérant : R410A/0.47KG Puissance : 3224W Intensité : 5.6A Volume : 580m3/h Redémarrage automatique Filtre antibactérien ( carbone actif bio ) Filtre lavable / Mode nuit / Minuteur ( 24 heures) Contrôle automatique de température Niveaux de vitesse du ventilateur (3+ Auto) Direction automatique d’air (haut-bas) Poids : INTERIEUR (8.1KG) EXTERIEURE (25.2) Dimensions (L x H x P): 82.3 x 29 x 21 cm
SPLAST12-12000I,Astech,Split Astech 12000btu 1.5 CV inverter ast12rtv30c/ast12rtv31ma,clim,Climatiseurs,152000,split,jour,12000 BTU,Type: Split | Capacité: 12000 BTU | Garantie: 12 mois,images/SPLAST12-12000I-1.jpg,images/SPLAST12-12000I-1.jpg,oui,"Climatiseur Astech de 12000 BTU (1.5 CV), format split mural. Adapté à une pièce d'environ 20 m². Technologie inverter : le compresseur adapte sa puissance au lieu de démarrer et s'arrêter, ce qui réduit la consommation électrique et le bruit. Installation par nos techniciens à Dakar. Garantie 12 mois, facture à notre nom. Livraison à Dakar, paiement à la livraison."
